name,listing,year,capital,Sales,Staff,investments_count,investment_amount
위시켓,비상장,2012-11-01,-,-,42명,3,102억원
에이젠글로벌,비상장,2016-02-15,4.9억원,28.8억원,39명,6,153.7억원
파인더스에이아이,비상장,2020-04-28,"1,432.6만원","6,883.1만원",28명,2,77억원 이상
로드시스템,비상장,2015-05-27,45.3억원,9.9억원,45명,-,-
디딤365,비상장,2005-05-19,2.5억원,301.6억원,-,1,비공개
에티포스,비상장,2022-04-25,"3,750만원",8.7억원,34명,1,80억원
원셀프월드,비상장,2023-05-25,-,-,6명,1,비공개
팀모노리스,비상장,2021-10-19,"3,421.9만원",256.4만원,12명,1,비공개
엔비티,KOSDAQ,2012-09-17,16.9억원,"1,082.1억원",72명,3,336억원
티오리한국,비상장,2017-09-22,1.1억원,62.2억원,87명,1,비공개
에이치소사이어티,비상장,2015-05-29,"1,000만원",93억원,22명,-,-
인썸니아,비상장,2017-03-28,"3,000만원",15.1억원,7명,-,-
파워테스크,비상장,2020-08-28,"1,115만원",509.5만원,10명,2,비공개
스튜디오랩,비상장,2021-06-14,1.2억원,"1,754.7만원",9명,1,비공개
코딧,비상장,2020-06-30,-,-,7명,3,50억원 이상
씨그로,비상장,2021-04-23,632.2만원,"7,026.5만원",18명,1,비공개
모비데이즈,KOSDAQ,2020-08-13,160억원,160.5억원,162명,3,"5,000만원 이상"
알체라,KOSDAQ,2016-06-03,107.7억원,113.6억원,180명,6,270억원 이상
오픈서베이,비상장,2011-02-01,1.4억원,142.3억원,96명,5,56억원 이상
텔레픽스,비상장,2019-06-18,14.8억원,29.7억원,64명,-,-
키클롭스,비상장,2016-04-05,15.5억원,"3,513.6만원",15명,1,비공개
